Date,Power [kW],Temp (°C),HR,Wind Speed (m/s),Wind Gust (m/s),Pres (mbar),Solar Irradiance (W/m²),Rain (mm/h),Rain (Day),Holiday,Hour,Power - 1,Sin hour
2017-11-09 05:00:00,41.197738,11.125833333333333,47.6875,5.99125,7.7365,1027.0,2.751,0.0,0.0,0,5,40.920243,-3.9660699703704005
2017-11-09 06:00:00,50.9898155,10.406666666666666,49.30416666666667,5.777083333333334,7.1706666666666665,1027.5833333333333,2.6101666666666667,0.0,0.0,0,6,41.197738,-1.455000338086136
2017-11-09 07:00:00,69.285039,10.609166666666667,46.59916666666667,6.479166666666667,8.009583333333333,1028.0833333333333,40.18833333333333,0.0,0.0,0,7,50.9898155,1.1552251627369516
2017-11-09 08:00:00,197.1711225,11.310833333333333,42.844166666666666,7.076499999999999,8.994166666666667,1029.0,195.00833333333333,0.0,0.0,0,8,69.285039,3.686723977819363
2017-11-09 09:00:00,189.4812335,11.950000000000001,41.34916666666667,6.525166666666666,8.721416666666666,1029.0,354.5333333333333,0.0,0.0,0,9,197.1711225,5.966978646412833
2017-11-09 10:00:00,202.937119,12.133333333333333,43.29083333333333,6.7495,8.9095,1029.0,485.5416666666667,0.0,0.0,0,10,189.4812335,7.8405935811517145
2017-11-09 11:00:00,212.9857155,13.2125,39.18,5.508666666666667,7.987583333333333,1029.0,564.7666666666667,0.0,0.0,0,11,202.937119,9.17988502052864
2017-11-09 12:00:00,211.668816,14.024166666666666,35.766666666666666,5.434083333333334,7.066,1028.0833333333333,584.3249999999999,0.0,0.0,0,12,212.9857155,9.893582466233818
2017-11-09 13:00:00,212.451483,14.914166666666667,32.08416666666667,5.861666666666667,8.364916666666668,1027.3333333333333,546.0416666666666,0.0,0.0,0,13,211.668816,9.933048616783237
2017-11-09 14:00:00,223.97561,15.565,28.162499999999998,5.24875,7.1481666666666674,1027.0,451.77500000000003,0.0,0.0,0,14,212.451483,9.295593919237854
2017-11-09 15:00:00,218.573853,15.853333333333333,27.08666666666667,4.902333333333334,6.353416666666667,1027.0,309.27500000000003,0.0,0.0,0,15,223.97561,8.024659857791692
2017-11-09 16:00:00,218.5736345,15.510833333333332,31.653333333333332,6.069583333333334,7.671833333333335,1027.0,139.21166666666667,0.0,0.0,0,16,218.573853,6.206858488414452
2017-11-09 17:00:00,219.2090325,13.902500000000002,41.928333333333335,6.413666666666667,8.385666666666667,1027.8333333333333,14.04025,0.0,0.0,0,17,218.5736345,3.96606997037041
2017-11-09 18:00:00,209.35359,13.049166666666666,45.982499999999995,7.013916666666667,9.286666666666667,1028.1666666666667,2.9028333333333336,0.0,0.0,0,18,219.2090325,1.455000338086137
2017-11-09 19:00:00,120.1101055,12.51,50.70916666666667,6.527,8.114166666666668,1029.0,2.9795,0.0,0.0,0,19,209.35359,-1.1552251627369503
2017-11-09 20:00:00,86.829278,12.425833333333332,51.25333333333333,6.131833333333333,7.485250000000001,1029.25,3.032583333333333,0.0,0.0,0,20,120.1101055,-3.6867239778193617
2017-11-09 21:00:00,60.078323,12.615833333333335,50.27166666666667,5.726916666666667,7.043666666666667,1030.0,2.76275,0.0,0.0,0,21,86.829278,-5.966978646412833
2017-11-09 22:00:00,47.769344,12.6925,51.08583333333333,5.538250000000001,6.772666666666667,1030.0,2.813333333333333,0.0,0.0,0,22,60.078323,-7.840593581151714
2017-11-09 23:00:00,43.7819375,12.514166666666666,50.465,5.7322500000000005,6.478083333333333,1030.0,2.7441666666666666,0.0,0.0,0,23,47.769344,-9.179885020528637
2017-11-10 00:00:00,42.753021,12.458333333333334,49.87083333333334,4.530083333333333,5.408833333333334,1030.0,2.73725,0.0,0.0,0,0,43.7819375,-9.893582466233818
2017-11-10 01:00:00,42.76045,12.380833333333333,48.625,3.7195,4.3187500000000005,1030.0,2.8135,0.0,0.0,0,1,42.753021,-9.933048616783237
2017-11-10 02:00:00,42.2978855,11.929166666666667,51.39333333333334,3.36125,4.213916666666667,1030.0,2.8433333333333333,0.0,0.0,0,2,42.76045,-9.29559391923785
2017-11-10 03:00:00,41.2036375,11.039166666666667,60.759166666666665,2.215333333333333,3.019083333333333,1030.0,2.637916666666667,0.0,0.0,0,3,42.2978855,-8.024659857791685
2017-11-10 04:00:00,40.4349545,10.325000000000001,69.13250000000001,2.9752500000000004,3.43825,1030.5,2.49025,0.0,0.0,0,4,41.2036375,-6.2068584884144515
2017-11-10 05:00:00,40.599922,10.930833333333334,52.905833333333334,2.804,3.606,1030.3333333333333,2.6245833333333333,0.0,0.0,0,5,40.4349545,-3.9660699703704005
2017-11-10 06:00:00,50.375612,10.858333333333334,49.3975,3.672333333333333,4.3605833333333335,1031.0,2.5481666666666665,0.0,0.0,0,6,40.599922,-1.455000338086136
2017-11-10 07:00:00,67.880958,10.135,62.95916666666667,2.584,3.1656666666666666,1031.4166666666667,36.458416666666665,0.0,0.0,0,7,50.375612,1.1552251627369516
2017-11-10 08:00:00,179.5844945,10.5725,63.9475,2.040583333333333,2.557583333333333,1032.0,186.0,0.0,0.0,0,8,67.880958,3.686723977819363
2017-11-10 09:00:00,187.1201225,12.475,55.33833333333333,1.74875,2.2223333333333333,1032.0,345.0916666666667,0.0,0.0,0,9,179.5844945,5.966978646412833
2017-11-10 10:00:00,204.6534365,14.0875,47.72083333333333,2.12625,2.8511666666666664,1032.6666666666667,475.31666666666666,0.0,0.0,0,10,187.1201225,7.8405935811517145
2017-11-10 11:00:00,209.8734015,15.995,37.64083333333333,4.17375,5.786583333333333,1032.0833333333333,555.8083333333333,0.0,0.0,0,11,204.6534365,9.17988502052864
2017-11-10 12:00:00,209.7925565,16.799166666666668,35.53666666666667,3.2860833333333335,4.591333333333333,1031.0833333333333,575.1916666666667,0.0,0.0,0,12,209.8734015,9.893582466233818
2017-11-10 13:00:00,204.4436765,17.7025,34.016666666666666,2.1978333333333335,3.2076666666666664,1030.5,534.625,0.0,0.0,0,13,209.7925565,9.933048616783237
2017-11-10 14:00:00,212.541068,18.5775,32.55166666666667,1.9463333333333332,2.6625,1029.5833333333333,441.2166666666667,0.0,0.0,0,14,204.4436765,9.295593919237854
2017-11-10 15:00:00,216.569771,19.150000000000002,30.934166666666666,2.6415,3.4172499999999997,1029.0,298.5416666666667,0.0,0.0,0,15,212.541068,8.024659857791692
2017-11-10 16:00:00,215.496499,18.420833333333334,35.44833333333333,4.166916666666666,5.115833333333334,1029.6666666666667,132.125,0.0,0.0,0,16,216.569771,6.206858488414452
2017-11-10 17:00:00,218.5775675,16.892500000000002,46.76666666666667,4.612166666666666,5.534583333333333,1030.0,13.234166666666667,0.0,0.0,0,17,215.496499,3.96606997037041
2017-11-10 18:00:00,197.1038245,15.553333333333335,52.044999999999995,4.575583333333333,5.409083333333334,1030.0,3.1306666666666665,0.0,0.0,0,18,218.5775675,1.455000338086137
2017-11-10 19:00:00,115.5115545,15.277500000000002,51.805,4.023499999999999,4.92675,1030.0833333333333,3.458833333333333,0.0,0.0,0,19,197.1038245,-1.1552251627369503
2017-11-10 20:00:00,84.451124,15.070833333333333,53.25083333333333,3.743916666666667,4.444583333333333,1031.0,3.2394166666666666,0.0,0.0,0,20,115.5115545,-3.6867239778193617
2017-11-10 21:00:00,56.1569035,14.625833333333333,57.5625,4.231333333333333,4.863833333333333,1031.0,2.99025,0.0,0.0,0,21,84.451124,-5.966978646412833
2017-11-10 22:00:00,46.066355,14.669166666666667,58.225833333333334,3.90475,4.65425,1031.0,3.0226666666666664,0.0,0.0,0,22,56.1569035,-7.840593581151714
2017-11-10 23:00:00,44.527241,14.341666666666667,60.770833333333336,3.2845833333333334,4.025333333333333,1031.0,2.9996666666666667,0.0,0.0,0,23,46.066355,-9.179885020528637
2017-11-11 00:00:00,44.299564,14.166666666666666,62.19916666666666,2.916,3.438166666666666,1031.0,2.9606666666666666,0.0,0.0,0,0,44.527241,-9.893582466233818
2017-11-11 01:00:00,43.3886375,14.3175,61.369166666666665,3.406833333333333,3.8366666666666664,1030.0,3.046333333333333,0.0,0.0,0,1,44.299564,-9.933048616783237
2017-11-11 02:00:00,41.3836815,13.675833333333335,63.86166666666667,2.9945,3.2915833333333335,1030.0,3.1384166666666666,0.0,0.0,0,2,43.3886375,-9.29559391923785
2017-11-11 03:00:00,41.2844825,13.234166666666667,66.6375,2.535083333333333,2.83025,1029.9166666666667,2.84525,0.0,0.0,0,3,41.3836815,-8.024659857791685
2017-11-11 04:00:00,41.9316795,13.206666666666665,66.8475,2.2064166666666667,2.59975,1029.0,2.857333333333333,0.0,0.0,0,4,41.2844825,-6.2068584884144515
2017-11-11 05:00:00,41.27465,12.520000000000001,69.95,1.0274166666666666,1.2789166666666667,1029.0,2.7765,0.0,0.0,0,5,41.9316795,-3.9660699703704005
2017-11-11 06:00:00,42.4687525,11.777500000000002,74.49249999999999,2.119333333333333,2.7045,1030.0,2.64025,0.0,0.0,0,6,41.27465,-1.455000338086136
2017-11-11 07:00:00,43.9991265,12.419166666666667,69.43083333333333,1.3453333333333335,2.369,1030.0,35.97808333333333,0.0,0.0,0,7,42.4687525,1.1552251627369516
2017-11-11 08:00:00,97.201036,13.896666666666667,63.07083333333333,0.34074999999999994,0.5240833333333333,1030.0,183.8166666666667,0.0,0.0,0,8,43.9991265,3.686723977819363
